Text Chunk,Start-End (s),Audio File,Matched PDF Sentence,Similarity Score,small_transcription,large_transcription,wer_small,wer_large
"Ini  dapat  dilihat  dalam  peribahasa  melayu  yang  berbunyi  bapa  borek  anak  rintik.  Maksudnya  memang  nyata,  kalau  begitulah  keadaannya  bagi  seseorang  individu,  maka  tentunya  pengaruh  keturunan  juga  memainkan  perannanya  dalam  perkembangan kelompok  individu",118.90-133.46,final_segments/seg_0_11890.mp3,Ini ialah kerana orang Melayu yang ingin mencebur diri dalam perniagaan dengan kemudahan Kerajaan ataupun hendak memulakan perusa - haan seperti perlombongan atau pengangkutan akan ditanya sama ada mereka mempunyai sebarang pengalaman dalam bidang berkenaan.,0.835," ini dapat dilihat dalam peribahasa Melayu yang berbunyi Bapak Borik Anak Rintik. Maksudnya memang nyata, kalau bagitulah keadaannya bagi seseorang individu, maka tentunya pengaruh keturunan juga memainkan peranannya dalam perkembangan kelompok individu"," Ini dapat dilihat dalam peribahasa Melayu yang berbunyi Bapa borek anak rintik. Maksudnya memang nyata. Kalau begitulah keadaannya bagi seseorang individu, maka tentunya pengaruh keturunan juga memainkan peranannya dalam perkembangan kelompok individu",0.125,0.0625
dalam  sesuatu  kaum.  Perkara  yang  umumnya  tidak  diketahui  oleh  orang -orang  melayu  adalah  kesan  pembiakan  seketurunan  atau  pembiakbakaan  dalam.,133.46-141.62,final_segments/seg_0_13346.mp3,Perkara yang umumnya tidak diketahui oleh orang-orang Melayu ialah kesan pembiakan seketurunan atau pembiakbakaan dalam.,0.951, Percara yang umumnya tidak diketahui oleh orang-orang Melayu adalah kesan pembiarkan seketurunan atau pembiak bakaan dalam., dalam sesuatu kaum. Perkara yang umumnya tidak diketahui oleh orang-orang Melayu ialah kesan pembiakan seketurunan atau pembiak bakaan dalam.,0.47368421052631576,0.2631578947368421
Di  dalam  buku  ini  saya  cuba  menerangkan  bagaimana  hukum  genetik  yang  menentukan  penyaluran  ciri -ciri  keturunan  dipengaruhi  oleh  pembiakan  seketurunan  dan  lain -lain  amalan  perkahwinan.,142.28-152.82,final_segments/seg_0_14228.mp3,"Di dalam buku ini saya cuba menerangkan bagaimana hukum genetik, yang menentukan penyaluran ciri-ciri keturunan, dipengaruhi oleh pembiakan seketurunan dan lain-lain amalan perkahwinan.",0.931," Di dalam buku ini saya cuba menerangkan bagaimana hukum genetik yang menentukan penyaluran ciri-ciri keturunan, dipengaruhi oleh pembiarkan seketurunan dan lain-lain amalan perkahwinan.", Di dalam buku ini saya cuba menerangkan bagaimana hukum genetik yang menentukan penyaluran ciri-ciri keturunan dipengaruhi oleh pembiakan seketurunan dan lain-lain amalan perkahwinan.,0.24,0.16
Pemikiran  yang  berdasarkan  kepada  prinsip -prinsip  sains  telah  banyak  didapati  mengenai  pembiakan  seketurunan  dan  kesannya  terhadap  masyarakat  manusia.,153.54-161.58,final_segments/seg_0_15354.mp3,Pemikiran yang berdasarkan kepada prinsip-prinsip sains telah banyak didapati mengenai pembiakan seketurunan dan kesannya terhadap masyarakat manusia.,0.911, Pemikiran yang berdasarkan kepada prinsip-prinsip sains telah banyak didapati mengenai pembiakan seketurunan dan kesannya terhadap masyarakat manusia., Pemikiran yang berdasarkan kepada prinsip-prinsip sains telah banyak didapati mengenai pembiakan seketurunan dan kesannya terhadap masyarakat manusia.,0.1111111111111111,0.1111111111111111
"Malahan  Ceril Dean  Darlington,  seorang  ahli  genetik  British,  di  dalam  bukunya,  the  evolution  of  men  and  society  memberi  pendapat  yang  ekstrem  bahawa  evolusi  masyarakat  manusia  ditentukan  oleh  bakar.",161.58-173.88,final_segments/seg_0_16158.mp3,"Malahan Cyril Dean Darlington, seorang ahli genetik British, di dalam bukunya “The Evolution of Men and Society”, memberi pendapat yang ekstrem bahawa evolusi masyarakat manusia ditentukan oleh baka.",0.919," Malahan serial Dinda LinkedIn, seorang ahli genetik British di dalam bukunya, The Evolution of Man and Society, memberi pendapat yang ekstrem bahawa evolusi masyarakat manusia ditentukan oleh bakar."," Malahan Cyril Dean Darlington, seorang ahli genetik British, di dalam bukunya, The Evolution of Man and Society, memberi pendapat yang ekstrem bahawa evolusi masyarakat manusia ditentukan oleh bakar.",0.21428571428571427,0.10714285714285714
"Menurut  beliau,  tamadun  akan  bekerja  bang  maju  atau  untuk  mengikol  penentuan  bakar.  Beliau  menyatakan  bahawa  apabila  sesuatu  golongan  pemerintah  berkuasa,  mereka  akan  cuba  mengekalkan  kuasa  mereka  melalui  pembiakan  seketurunan  tanpa  membenarkan",174.54-188.70,final_segments/seg_0_17454.mp3,"Beliau menyatakan bahawa apabila sesuatu golongan pemerintah berkuasa, mereka akan cuba mengekalkan kuasa mereka melalui pembiakan seketurunan tanpa membenarkan kemasukan baka-baka barn ke dalam keturunan mereka.",0.872," Menurut Beliau, Tamadon akan berkembang maju atau runtuh mengikut penentuan bakar. Beliau menyatakan bahawa apabila sesuatu golongan pemerintah berkuasa, mereka akan cuba mengekalkan kuasa mereka melalui pembiakan seketurunan tanpa membenarkan"," Menurut beliau, tamadun akan berkembang maju atau runtuh mengikut penentuan bakar. Beliau menyatakan bahawa apabila sesuatu golongan pemerintah berkuasa, mereka akan cuba mengekalkan kuasa mereka melalui pembiakan seketurunan tanpa membenarkan mereka untuk berkembang.",0.16129032258064516,0.22580645161290322
"kemasukan  bakar  bakar  bang  ke  dalam  keturunan  mereka.  Amalan  begini,  menurut  darlington  telah  mempercepatkan  kejatuhan  pemerintahan  firau,  pelimi  dan  sezer,  hipotesis  yang  menarik  ini  umumnya  agak  ke  terlaluan  untuk  diteri -mengolis",188.70-202.98,final_segments/seg_0_18870.mp3,Kemiski - nan mengakibatkan rendahnya pencapaian mutu pelajaran.,0.734," kemasukan bakar-bakar bahan ke dalam keturunan mereka. Amalan begini, menurut Darlington, telah mempercepatkan kejatuhan pemerintahan firau, pelini dan siza, hipotesis yang menarik ini umumnya agak ketelaluan untuk diterima oleh"," Amalan begini, menurut Darlington, telah mempercepatkan kejatuhan pemerintahan Firaun, Pelimi dan Caesar, hipotesis yang menarik ini umumnya agak ketelaluan untuk diterima oleh seorang pemerintahan.",0.3225806451612903,0.5483870967741935
"semua  orang,  termasuklah  orang -orang  bukan  Islam.  Baga  mana  pun,  darlington  cuma  menyentuh  mengenai  soal  perkahwinan  di  antara  saudara  kandung,  satu  amalan  yang  tidak  terdapat  langsung  di  kalangan  orang -orang  melayu.",202.98-215.18,final_segments/seg_0_20298.mp3,"Bagi orang-orang bukan Me - layu asas tidak puas hati dan kemarahan mereka ialah wujudnya undang-undang dan dasar-dasar yang nampaknya memihak kepada orang-orang Melayu, dan seolah-olah menjadikan orang-orang bukan Me - layu warganegara kelas kedua.",0.781," semua orang, termasuklah orang-orang bukan Islam. Bagaimanapun, Darlington cuma menyentuh mengenai soal perkawinan di antara saudara Kandong, satu amalan yang tidak terdapat langsung di kalangan orang-orang Melayu."," Bagaimanapun, Darlington cuma menyentuh mengenai soal perkahwinan di antara saudara kandung, satu amalan yang tidak terdapat langsung di kalangan orang-orang Melayu.",0.2903225806451613,0.3870967741935484
"Walaupun  bagaimana  pun,  takrif  moden  mengenai  pembiakan  seketurunan  telah  masuklah  amalan  perkahwinan  di  antara  sepupu  atau  kaum  keluarga  yang  dekat.",215.18-224.20,final_segments/seg_0_21518.mp3,"Walau bagaimanapun, takrif moden mengenai pembiakan seketurunan termasuklah amalan perkahwi - nan di antara sepupu atau kaum keluarga yang dekat.",0.831," Walaubagaimanapun, takrif modern mengenai pembiakan seketurunan termasuklah amalan perkawinan di antara sepupu atau kaum keluarga yang dekat."," Walau bagaimanapun, takrif modern mengenai pembiakan seketurunan termasuklah amalan perkahwinan di antara sepupu atau kaum keluarga yang dekat.",0.35,0.3
"Amalan  begini  agak  biasa  berlaku  di  kalangan  orang -orang  melayu.  Pengaruh  keturunan  boleh  juga  menimbulkan  kesan  yang  buruh  di  dalam  mah  syarakat  yang  menggalakkan  setiap  orang  perkahwin,  tidak  kira  sama  ada  orang  itu  sihat  atau  tidak.",224.88-237.72,final_segments/seg_0_22488.mp3,"Orang-orang Melayu yang selama ini lemah disebabkan oleh pengaruh keturunan dan alam sekitar tidak berupaya untuk menghadapi cabaran pendatang-pendatang Cina ini, hingga terpaksa mengalah.",0.842, Amalan begini agak biasa berlaku di kalangan orang-orang Melayu. Pengaruh keturunan boleh juga menimbulkan kesan yang buruk di dalam masyarakat yang menggalakkan setiap orang berkahwin tidak kira sama ada orang itu sihat atau tidak.," Amalan begini agak biasa berlaku di kalangan orang-orang Melayu. Pengaruh keturunan boleh juga menimbulkan kesan yang buruk di dalam masyarakat yang menggalakkan setiap orang berkahwin, tidak kira sama ada orang itu sihat atau tidak.",0.16666666666666666,0.16666666666666666
"Oleh  itu,  orang -orang  yang  cacat  tubuh  badan  dan  otak  juga  dikahwinkan  dan  beranak  pina.",237.72-243.22,final_segments/seg_0_23772.mp3,Oleh itu orang-orang yang cacat tubuh badan dan otak juga dikahwinkan dan beranak pinak.,0.992, Oleh itu orang-orang yang cacak tubuh badan dan otak juga dikawinkan dan beranak pinah., Oleh itu orang-orang yang cacat tubuh badan dan otak juga dikahwinkan dan beranak pina.,0.4,0.2
"Sesunggungnya  memang  diaku  i  bahawa  pembiakan  seketurunan  tidaklah  berlaluas  di  dalam  masyarakat  melayu,  namun  tidak  dapat  dinafikan  bahawa  pembiakan  begini  adalah  lebih  kerat  berlaku  di  kalangan  masyarakat  melayu  kalau  dibandingkan  dengan  kawam  terbesar",243.98-258.10,final_segments/seg_0_24398.mp3,"Sesungguhnya memang diakui bahawa pembiakan seketu runan tidaklah berleluasa di dalam masyara - kat Melayu, namun tidak dapat dinafikan bahawa pembiakan begini adalah lebih kerap berlaku di ka - langan masyarakat Melayu kalau dibanding kan dengan kaum terbesar yang lain di Malaysia — iaitu masya rakat Cina.",0.911," Sesungguhnya memang diakui bahawa pembiakan seketurunan tidaklah berleluas di dalam masyarakat Melayu, namun tidak dapat dinafikan bahawa pembiakan begini adalah lebih kerap berlaku di kelanggan masyarakat Melayu kalau dibandingkan dengan kaum terbesar."," Sesungguhnya memang diakui bahawa pembiakan seketurunan tidaklah berleluasa di dalam masyarakat Melayu, namun tidak dapat dinafikan bahawa pembiakan begini adalah lebih kerap berlaku di kelangan masyarakat Melayu kalau dibandingkan dengan kaum terbesar.",0.24242424242424243,0.24242424242424243
"yang  lain  di  Malaysia  iya  itu  masyarakat  China.  Sebaliknya,  ada  pekahwinan  orang  China  menghalang  pembiakan  seketurunan.",258.10-265.16,final_segments/seg_0_25810.mp3,Sebaliknya di Malaysia warganegara bukan Melayu sebenarnya berkeras mengatakan bahawa langkah-langkah yang dijalankan untuk memajukan dan mengembangkan penggunaan bahasa - bahasa asing itu tidak memadai.,0.793, yang lain di Malaysia iaitu masyarakat China. Sebaliknya adat perkawinan orang China menghalang pembayakan seketurunan.," yang lain di Malaysia iaitu masyarakat Cina. Sebaliknya, adat perkahwinan orang Cina menghalang pembiakan seketurunan.",0.375,0.375
"Kelau  begitu,  memang  wajahlah  dikatakan  bahawa  pembiakan  seketurunan  dan  amalan -kahwin  pak  se  di  kalangan  orang -orang  yang  cacat  telah  menyabakkan  peratus  manusia  yang  gagal  di  kalangan  orang  melayu  lebih  tinggi  kalau  dibandingkan  dengan  kawam -kawam  lain,  keturangan",265.58-279.82,final_segments/seg_0_26558.mp3,"Ka - lau begitu, memang wajar lah dikatakan bahawa pembiakan seketurunan dan amalan kahwin paksa di kalangan orang-orang yang cacat telah menyebabkan peratus manusia yang gagal di kalangan orang Melayu lebih tinggi kalau dibandingkan dengan kaum-kaum lain.Keterangan ini diberikan sebagai men - galas serta menyokong pandangan saya itu.",0.918," Kalau begitu, memang wajarlah dikatakan bahawa pembiarkan seketurunan dan amalan kahwin paksa di kalangan orang-orang yang cacak telah menyebabkan peratus manusia yang gagal di kalangan orang Melayu lebih tinggi kalau dibandingkan dengan kaum-kaum lain."," Kalau begitu, memang wajarlah dikatakan bahawa pembiakan seketurunan dan amalan kahwin paksa di kalangan orang-orang yang cacat telah menyebabkan peratus manusia yang gagal di kalangan orang Melayu lebih tinggi kalau dibandingkan dengan kaum-kaum lain.",0.3684210526315789,0.3157894736842105
"ini  diberikan  sebagai  mengalas  setemanyi  okong  pandangan  saya  itu.  Walaupun  bagaimana  pun,  penerangan  ini  tidak  pula  diharapkan  akan  di  terima  dengan  mudah.",279.82-288.98,final_segments/seg_0_27982.mp3,"Walau bagaimanapun, penerangan ini tidak pula diharap - kan akan diterima dengan mudah.",0.82, ini diberikan sebagai mengalas setemen nyokong pandangan saya itu. Walaupun penerangan ini tidak pula diharapkan akan diterima dengan mudah.," Penerangan ini diberikan sebagai men galas serta menyokong pandangan saya itu. Walau bagaimanapun, penerangan ini tidak pula diharapkan akan diterima dengan mudah.",0.2727272727272727,0.45454545454545453
Implikasi  pandangan  begini  adalah  telah  lalu  merumsinkan  sebab  iya  tidak  pula  mempelihatkan  harapan  bagi  pemulahan  yang  mudah  dan  cepat  faktor -faktor  alam  sekitar  yang  mempengaruhi  keadaan  orang  melayu  kurang  kontroversinya.,289.68-302.18,final_segments/seg_0_28968.mp3,Implikasi pandangan begini adalah terlalu merungsingkan sebab ia tidak pula memperlihatkan harapan bagi pemulihan yang mudah dan cepat.Faktor-faktor alam seki - tar yang mempengaruhi keadaan orang Melayu kurang kontroversinya.,0.909, Implikasi pandangan begini adalah terlalu merumsingkan sebab ia tidak pula memperlihatkan harapan bagi pemulihan yang mudah dan cepat faktor-faktor alam sekitar yang mempengaruhi keadaan orang Melayu kurang kontroversinya.," Implikasi pandangan begini adalah terlalu merumsingkan sebab ia tidak pula memperlihatkan harapan bagi pemulihan yang mudah dan cepat, faktor-faktor alam sekitar yang mempengaruhi keadaan orang Melayu kurang kontroversinya.",0.26666666666666666,0.3
Memang  lebih  senang  kalau  hendak  menyalahkan  faktor -faktor  luaran  dari  pada  faktor -faktor  dalaman.,302.18-307.66,final_segments/seg_0_30218.mp3,Memang lebih senang kalau hendak menyalahkan faktor-faktor luaran daripada faktor-faktor dalaman.,0.98, Memang lebih senang kalau hendak menyalahkan faktor-faktor luaran daripada faktor-faktor dalaman., Memang lebih senang kalau hendak menyalahkan faktor-faktor luaran daripada faktor-faktor dalaman.,0.42857142857142855,0.42857142857142855
"Lagipun,  alam  sekitar  adalah  lebih  senang  untuk  dibetulkan  dan  berbeza  daripada  faktor -keturunan  yang  mempelihatkan  harapan  bagi  pemulahan  yang  mudah,  selepas  membincangkan  beberapa  faktor  yang  telah  mempengaruhi  evolusi  orang  melayu,  memangwajahlah",308.34-322.58,final_segments/seg_0_30833.mp3,"Lagipun, alam sekitar adalah lebih senang untuk dibetulkan, dan berbeza daripada faktor keturu nan, ia memperlihatkan harapan bagi pemulihan yang mudah.Selepas membincangkan beberapa faktor yang telah mempe ngaruhi evolusi orang Melayu, memangwajarlah diteruskan usaha mencari dan menganalisa lain-lain faktor yang telah menyebabkan kedudukan orang Melayu sebegitu rupa seperti yang terdapat sekarang ini.",0.919," Lagipun, alam sekitar adalah lebih senang untuk dibertulkan dan berbeza daripada faktor keturunan, ia memperlihatkan harapan bagi pemulihan yang mudah selepas membincangkan beberapa faktor yang telah mempengaruhi evolusi orang Melayu, memangwajarlah"," Lagipun, alam sekitar adalah lebih senang untuk dibetulkan dan berbeza daripada faktor keturunan, ia memperlihatkan harapan bagi pemulihan yang mudah. Selepas membincangkan beberapa faktor yang telah mempengaruhi evolusi orang Melayu, memang wajarlah",0.22580645161290322,0.22580645161290322
diteruskan  usaha -mencari  dan  menganali  selain -lain  faktor  yang  telah  menyabakkan  keduungan  orang  melayu  sebegitu  rupa  seperti  yang  terdapat  sekarang  ini.,322.58-331.22,final_segments/seg_0_32258.mp3,"Lagipun, alam sekitar adalah lebih senang untuk dibetulkan, dan berbeza daripada faktor keturu nan, ia memperlihatkan harapan bagi pemulihan yang mudah.Selepas membincangkan beberapa faktor yang telah mempe ngaruhi evolusi orang Melayu, memangwajarlah diteruskan usaha mencari dan menganalisa lain-lain faktor yang telah menyebabkan kedudukan orang Melayu sebegitu rupa seperti yang terdapat sekarang ini.",0.857, diteruskan usaha mencari dan menganalisa lain-lain faktor yang telah menyebabkan kedudukan orang Melayu sebegitu rupa seperti yang terdapat sekarang ini., diteruskan usaha mencari dan menganalisa lain-lain faktor yang telah menyebabkan kedudukan orang Melayu sebegitu rupa seperti yang terdapat sekarang ini.,0.2857142857142857,0.2857142857142857
Rupert  M.  Ersen  yang  menulis  dari  hal  kuasa  orang  melayu  dikedah  dalam  bukunya  Malaysia  menyatakan  bahawa  mereka  terpaksa  bejuang  dalam  keadaan  tersebit  dan  selepas  setiap  bejuangan  itu  kuasa  autonomi  mereka  hilang  sedikit,331.22-345.26,final_segments/seg_0_33122.mp3,"Rupert Em - erson yang menulis dari hal kuasa orang Melayu di Kedah dalam bukunya “Malaysia”, menyatakan ba - hawa “(mereka) terpaksa berjuang dalam kea daan tersepit dan selepas setiap perjuangan itu kuasa autonomi mereka hilang sedikit demi sedikit”.",0.894," Rupert M. Ersen yang menulis dari hal kuasa orang Melayu di kedah dalam bukunya Malaysia, menyatakan bahawa, mereka, terpaksa berjuang dalam keadaan tersepit dan selepas setiap perjuangan itu kuasa autonomi mereka hilang sedikit."," Rupert M. Erson yang menulis dari Hal Kuasa Orang Melayu di Kedah dalam bukunya, Malaysia, menyatakan bahawa mereka terpaksa berjuang dalam keadaan tersepit dan selepas setiap perjuangan itu kuasa otonomi mereka hilang sedikit.",0.28125,0.3125
demi sedikit.  Pekara  yang  menjadi  kena  tahan  bagi  orang -orang  melayu  dikedah  ternyata  kebenaranya  bagi  orang -orang  melayu  di  negeri -negeri  lain.,345.26-353.80,final_segments/seg_0_34526.mp3,"Bagi orang-orang bukan Me - layu asas tidak puas hati dan kemarahan mereka ialah wujudnya undang-undang dan dasar-dasar yang nampaknya memihak kepada orang-orang Melayu, dan seolah-olah menjadikan orang-orang bukan Me - layu warganegara kelas kedua.",0.853, Percara yang menjadi kenyataan bagi orang-orang milayu di kedah ternyata kebenarannya bagi orang-orang milayu di negeri-negri lain., Perkara yang menjadi kenyataan bagi orang-orang Melayu di Kedah ternyata kebenarannya bagi orang-orang Melayu di negeri-negeri lain.,0.6818181818181818,0.6363636363636364
